Название товара|Артикул|Параметр|Значение параметра
Автолампа тип H1 24V (грузовики+автобусы)| 07201112|Номинальное напряжение|24 В пост. тока
Автолампа тип H1 24V (грузовики+автобусы)| 07201112|ШтрихКод|4045727186336
Автолампа тип H1 24V (грузовики+автобусы)| 07201112|Артикул|07201112
Автолампа тип H1 24V (грузовики+автобусы)| 07201112|Обозначение цоколя|P14s
Автолампа тип H1 24V (грузовики+автобусы)| 07201112|Мощность|70 Вт
Автолампа тип H4 24V (грузовики+автобусы)| 07201102|Номинальное напряжение|24 В пост. тока
Автолампа тип H4 24V (грузовики+автобусы)| 07201102|ШтрихКод|4045727186299
Автолампа тип H4 24V (грузовики+автобусы)| 07201102|Артикул|07201102
Автолампа тип H4 24V (грузовики+автобусы)| 07201102|Обозначение цоколя|H4
Автолампа тип H4 24V (грузовики+автобусы)| 07201102|Мощность|75/70 Вт
Автолампа тип H7 24V (грузовики+автобусы)| 07201142|Номинальное напряжение|25 В пост. тока
Автолампа тип H7 24V (грузовики+автобусы)| 07201142|ШтрихКод|4038898675846
Автолампа тип H7 24V (грузовики+автобусы)| 07201142|Артикул|07201142
Автолампа тип H7 24V (грузовики+автобусы)| 07201142|Обозначение цоколя|H7
Автолампа тип H7 24V (грузовики+автобусы)| 07201142|Мощность|70 Вт
Автолампа тип P21W 24V (грузовики+автобусы)| 07201322|Номинальное напряжение|24 В пост. тока
Автолампа тип P21W 24V (грузовики+автобусы)| 07201322|ШтрихКод|4045727187173
Автолампа тип P21W 24V (грузовики+автобусы)| 07201322|Артикул|07201322
Автолампа тип P21W 24V (грузовики+автобусы)| 07201322|Обозначение цоколя|BA15s
Автолампа тип P21W 24V (грузовики+автобусы)| 07201322|Мощность|21 Вт
Автолампа тип R10W 24V (грузовики+автобусы)| 07201412|Номинальное напряжение|24 В пост. тока
Автолампа тип R10W 24V (грузовики+автобусы)| 07201412|ШтрихКод|4045727188996
Автолампа тип R10W 24V (грузовики+автобусы)| 07201412|Артикул|07201412
Автолампа тип R10W 24V (грузовики+автобусы)| 07201412|Обозначение цоколя|BA15s
Автолампа тип R10W 24V (грузовики+автобусы)| 07201412|Мощность|10 Вт
Автолампа тип R5W 24V (грузовики+автобусы)| 07201402|Номинальное напряжение|24 В пост. тока
Автолампа тип R5W 24V (грузовики+автобусы)| 07201402|ШтрихКод|4045727188941
Автолампа тип R5W 24V (грузовики+автобусы)| 07201402|Артикул|07201402
Автолампа тип R5W 24V (грузовики+автобусы)| 07201402|Обозначение цоколя|BA15s
Автолампа тип R5W 24V (грузовики+автобусы)| 07201402|Мощность|5 Вт
Автолампа тип Н3 эконом 24V (грузовики+автобусы)| 07201122|Номинальное напряжение|24 В пост. тока
